State	Column	Row	Electoral Votes
AK	1	0	3
AL	7.5	6	9
AR	6	5	6
AZ	3	5	11
CA	2	5	55
CO	3.5	4	9
CT	11	3	7
DC	11.5	5	3
DE	9.5	4	3
FL	8.5	8	29
GA	8	7	16
HI	1	8	4
IA	5	3	6
ID	2	3	4
IL	6	3	20
IN	7	3	11
KS	5	5	6
KY	6.5	4	8
LA	5.5	6	8
MA	10.5	2	11
MD	8.5	4	10
ME	11.5	0	4
MI	7.5	2	16
MN	4.5	2	10
MO	5.5	4	10
MS	6.5	6	6
MT	2.5	2	3
NC	9	5	15
ND	3.5	2	3
NE	4.5	4	5
NH	11	1	4
NJ	10	3	14
NM	3.5	6	5
NV	2.5	4	6
NY	9.5	2	29
OH	8	3	18
OK	4.5	6	7
OR	1.5	4	7
PA	9	3	20
RI	11.5	2	4
SC	8.5	6	9
SD	4	3	3
TN	7	5	11
TX	4	7	38
UT	4	5	6
VA	8	5	13
VT	10	1	3
WA	1.5	2	12
WI	5.5	2	10
WV	7.5	4	5
WY	3	3	3